x1,x2,x3,x4,OT,ind
1479,1,0.300880613,3.488365454,0.000105242,1
158,0,1.671999266,4.790309196,0.001349612,1
1309,0,1.371628523,1.693257977,0.002358361,1
1435,0,-2.251115605,4.299489233,0.002424451,1
1395,0,-0.508088497,4.742816237,0.002888116,1
1440,0,1.269658443,4.87406472,0.003419964,1
885,0,1.00352352,2.65691063,0.005765068,1
1475,0,-0.101968711,2.725631286,0.006430452,1
980,0,0.095236315,2.430940412,0.007581909,1
1179,0,-0.903685451,3.97419042,0.008054539,1
254,0,-0.635453933,0.927976056,0.015186109,1
1224,1,-0.447454188,3.945740718,0.017789705,1
1353,0,-0.857744616,2.576651803,0.020304082,1
905,0,-0.023166126,2.854347561,0.024235838,1
102,0,0.421512911,0.815464111,0.026404091,1
964,1,1.548611085,1.616057057,0.02747987,1
1018,0,0.281386537,3.17446431,0.028188997,1
1347,0,0.850999276,3.152356289,0.029114202,1
3,0,-1.303437562,6.327620253,0.029582043,1
76,0,-1.065888593,1.452389777,0.029582443,1
159,0,-0.100265768,4.299391798,0.032292292,1
689,0,-0.026970659,4.378863381,0.035448672,1
929,0,-0.667887753,1.235740105,0.038147029,1
1065,0,0.178679224,1.340334925,0.039073153,1
5,0,0.82490544,1.645752754,0.043117423,1
1313,0,-0.207866085,3.386556445,0.043189575,1
1160,0,0.175609369,3.899335619,0.04340489,1
1462,1,0.815868976,4.702560925,0.043887873,1
1384,0,-0.621140765,2.017716908,0.045346713,1
1331,0,0.329999876,1.895371483,0.045797088,1
1052,1,1.220712998,4.522574785,0.045835196,0
1477,0,-1.236367523,3.367726289,0.047846687,1
938,0,-2.471553187,6.289692276,0.05134047,1
1204,0,-1.76013524,1.542604283,0.051902002,1
1074,0,-1.354145223,6.864317575,0.052768461,1
1461,0,0.834306398,4.382382588,0.05347264,1
1386,0,0.439639603,4.405119064,0.05405445,1
1004,0,-1.138208745,1.70674984,0.056260671,1
1433,0,-1.136085854,1.955026775,0.057338689,1
1342,0,-0.937679717,6.561269537,0.057462185,1
